Code,OCCUPATION,C_W_ O Context,E_D_I Context,P_P Context,Overall Risk Score
17-3027.00,Mechanical Engineering Technicians,92,3,60,51.67
33-2011.01,Municipal Firefighters,92,77,89,86.0
51-8011.00,Nuclear Power Reactor Operators,92,3,73,56.0
47-2151.00,Pipelayers,92,36,87,71.67
29-1081.00,Podiatrists,92,87,95,91.33
29-1024.00,Prosthodontists,92,88,98,92.67
41-9021.00,Real Estate Brokers,92,6,54,50.67
53-1021.01,Recycling Coordinators,92,27,52,57.0
27-3022.00,Reporters and Correspondents,92,9,55,52.0
13-2099.02,Risk Management Specialists,92,7,43,47.33
11-9151.00,Social and Community Service Managers,92,26,42,53.33
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,92,63,68,74.33
29-2055.00,Surgical Technologists,92,82,99,91.0
43-9022.00,Word Processors and Typists,92,22,47,53.67
43-3021.02,"Billing, Cost, and Rate Clerks",91,29,46,55.33
11-3051.03,Biofuels Production Managers,91,10,53,51.33
25-2023.00,"Career/Technical Education Teachers, Middle School",91,23,78,64.0
11-3111.00,Compensation and Benefits Managers,91,1,32,41.33
47-2061.00,Construction Laborers,91,10,73,58.0
35-2012.00,"Cooks, Institution and Cafeteria",91,43,70,68.0
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",91,0,70,53.67
11-9161.00,Emergency Management Directors,91,15,52,52.67
51-1011.00,First-Line Supervisors of Production and Operating Workers,91,1,65,52.33
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",91,8,70,56.33
39-3012.00,Gaming and Sports Book Writers and Runners,91,12,85,62.67
39-3011.00,Gaming Dealers,91,27,88,68.67
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,91,28,78,65.67
11-3121.00,Human Resources Managers,91,5,41,45.67
25-2012.00,"Kindergarten Teachers, Except Special Education",91,68,86,81.67
49-9094.00,Locksmiths and Safe Repairers,91,10,62,54.33
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",91,1,73,55.0
17-3029.07,Mechanical Engineering Technologists,91,0,56,49.0
29-1125.02,Music Therapists,91,73,88,84.0
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",91,62,66,73.0
29-1041.00,Optometrists,91,75,90,85.33
29-1069.08,Physical Medicine and Rehabilitation Physicians,91,90,91,90.67
53-5021.03,"Pilots, Ship",91,24,71,62.0
29-2053.00,Psychiatric Technicians,91,93,85,89.67
41-9031.00,Sales Engineers,91,0,36,42.33
11-9199.07,Security Managers,91,34,55,60.0
47-4091.00,Segmental Pavers,91,8,63,54.0
53-5021.01,Ship and Boat Captains,91,22,69,60.67
53-5031.00,Ship Engineers,91,16,72,59.67
25-9041.00,Teacher Assistants,91,36,88,71.67
11-3131.00,Training and Development Managers,91,7,46,48.0
25-1194.00,"Vocational Education Teachers, Postsecondary",91,17,76,61.33
11-9199.09,Wind Energy Operations Managers,91,0,45,45.33
13-2011.01,Accountants,90,1,39,43.33
51-9191.00,Adhesive Bonding Machine Operators and Tenders,90,9,70,56.33
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",90,37,58,61.67
29-1141.02,Advanced Practice Psychiatric Nurses,90,80,77,82.33
45-2011.00,Agricultural Inspectors,90,18,68,58.67
53-2022.00,Airfield Operations Specialists,90,24,66,60.0
27-3021.00,Broadcast News Analysts,90,10,65,55.0
53-3022.00,"Bus Drivers, School or Special Client",90,67,84,80.33
19-3031.02,Clinical Psychologists,90,57,62,69.67
49-9092.00,Commercial Divers,90,12,75,59.0
21-1094.00,Community Health Workers,90,53,76,73.0
11-3021.00,Computer and Information Systems Managers,90,1,41,44.0
11-9039.01,Distance Learning Coordinators,90,1,47,46.0
47-2111.00,Electricians,90,11,75,58.67
29-2041.00,Emergency Medical Technicians and Paramedics,90,89,97,92.0
11-9071.00,Gaming Managers,90,17,76,61.0
25-1191.00,Graduate Teaching Assistants,90,6,61,52.33
13-1075.00,Labor Relations Specialists,90,1,51,47.33
43-6012.00,Legal Secretaries,90,0,41,43.67
53-4011.00,Locomotive Engineers,90,13,50,51.0
11-3071.03,Logistics Managers,90,3,48,47.0
39-5091.00,"Makeup Artists, Theatrical and Performance",90,20,86,65.33
11-2021.00,Marketing Managers,90,2,47,46.33
43-5081.02,Marking Clerks,90,16,71,59.0
29-2091.00,Orthotists and Prosthetists,90,79,88,85.67
53-6021.00,Parking Lot Attendants,90,15,73,59.33
33-3021.02,Police Identification and Records Officers,90,60,76,75.33
43-5051.00,Postal Service Clerks,90,17,82,63.0
27-3031.00,Public Relations Specialists,90,4,46,46.67
19-4099.01,Quality Control Analysts,90,10,62,54.0
27-3011.00,Radio and Television Announcers,90,10,54,51.33
