Code,OCCUPATION,C_W_ O Context,E_D_I Context,P_P Context,Overall Risk Score
51-9071.01,Jewelers,66,0,60,42.0
31-9094.00,Medical Transcriptionists,66,21,42,43.0
51-4061.00,"Model Makers, Metal and Plastic",66,16,71,51.0
51-7032.00,"Patternmakers, Wood",66,0,56,40.67
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",66,9,29,34.67
51-9197.00,Tire Builders,66,3,57,42.0
23-2093.00,"Title Examiners, Abstractors, and Searchers",66,1,50,39.0
51-4194.00,"Tool Grinders, Filers, and Sharpeners",66,0,47,37.67
51-6093.00,Upholsterers,66,2,62,43.33
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",66,1,51,39.33
35-9021.00,Dishwashers,65,30,63,52.67
45-2041.00,"Graders and Sorters, Agricultural Products",65,7,84,52.0
51-9022.00,"Grinding and Polishing Workers, Hand",65,3,61,43.0
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",65,9,66,46.67
23-1012.00,Judicial Law Clerks,65,3,33,33.67
53-7033.00,"Loading Machine Operators, Underground Mining",65,4,59,42.67
45-2092.01,Nursery Workers,65,1,39,35.0
51-4121.07,Solderers and Brazers,65,0,52,39.0
15-1199.03,Web Administrators,65,0,41,35.33
49-3021.00,Automotive Body and Related Repairers,64,0,46,36.67
35-2013.00,"Cooks, Private Household",64,6,21,30.33
49-9093.00,"Fabric Menders, Except Garment",64,26,58,49.33
13-2099.01,Financial Quantitative Analysts,64,0,46,36.67
15-1199.04,Geospatial Information Scientists and Technologists,64,1,44,36.33
51-5113.00,Print Binding and Finishing Workers,64,0,55,39.67
51-6031.00,Sewing Machine Operators,64,0,62,42.0
47-2053.00,Terrazzo Workers and Finishers,64,7,67,46.0
47-3016.00,Helpers--Roofers,63,5,62,43.33
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",63,1,53,39.0
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",62,5,55,40.67
51-4051.00,Metal-Refining Furnace Operators and Tenders,62,2,43,35.67
49-3011.00,Aircraft Mechanics and Service Technicians,61,4,54,39.67
19-2011.00,Astronomers,61,1,31,31.0
49-9061.00,Camera and Photographic Equipment Repairers,61,0,38,33.0
17-2061.00,Computer Hardware Engineers,61,0,44,35.0
53-7011.00,Conveyor Operators and Tenders,61,5,37,34.33
15-1199.07,Data Warehousing Specialists,61,0,45,35.33
19-3011.01,Environmental Economists,61,0,29,30.0
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",61,12,51,41.33
51-9071.07,Precious Metal Workers,61,0,61,40.67
51-6021.00,"Pressers, Textile, Garment, and Related Materials",61,4,35,33.33
51-4111.00,Tool and Die Makers,61,0,57,39.33
51-9031.00,"Cutters and Trimmers, Hand",60,1,34,31.67
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",60,1,50,37.0
51-2022.00,Electrical and Electronic Equipment Assemblers,60,3,59,40.67
51-9194.00,Etchers and Engravers,60,0,46,35.33
51-9083.00,Ophthalmic Laboratory Technicians,60,29,63,50.67
51-9195.03,"Stone Cutters and Carvers, Manufacturing",60,2,54,38.67
53-7061.00,Cleaners of Vehicles and Equipment,59,16,55,43.33
19-3011.00,Economists,59,6,33,32.67
15-2021.00,Mathematicians,59,1,40,33.33
19-1029.02,Molecular and Cellular Biologists,59,36,53,49.33
47-2082.00,Tapers,59,9,55,41.0
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",59,0,54,37.67
45-2021.00,Animal Breeders,58,27,33,39.33
29-2011.02,Cytotechnologists,58,80,49,62.33
47-2043.00,Floor Sanders and Finishers,58,1,62,40.33
51-7021.00,Furniture Finishers,58,2,54,38.0
35-2011.00,"Cooks, Fast Food",57,11,65,44.33
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",57,4,63,41.33
45-3021.00,Hunters and Trappers,56,67,17,46.67
51-6011.00,Laundry and Dry-Cleaning Workers,56,55,53,54.67
17-3029.08,Photonics Technicians,56,4,49,36.33
53-7081.00,Refuse and Recyclable Material Collectors,56,63,31,50.0
37-3011.00,Landscaping and Groundskeeping Workers,55,9,76,46.67
47-5051.00,"Rock Splitters, Quarry",55,0,43,32.67
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",55,5,48,36.0
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",54,8,48,36.67
27-1012.00,Craft Artists,53,2,34,29.67
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",53,4,44,33.67
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",53,0,42,31.67
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",51,0,9,20.0
51-6051.00,"Sewers, Hand",51,1,37,29.67
27-2041.04,Music Composers and Arrangers,50,0,32,27.33
51-6042.00,Shoe Machine Operators and Tenders,50,1,61,37.33
51-9195.05,"Potters, Manufacturing",49,1,45,31.67
19-4041.02,Geological Sample Test Technicians,48,4,44,32.0
51-4052.00,"Pourers and Casters, Metal",47,7,57,37.0
45-4021.00,Fallers,46,1,7,18.0
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",46,25,85,52.0
51-9122.00,"Painters, Transportation Equipment",46,0,48,31.33
27-3043.05,"Poets, Lyricists and Creative Writers",44,0,14,19.33
45-2092.02,"Farmworkers and Laborers, Crop",40,1,24,21.67
